date,store_id,product_id,stock_level,expiry_date,
1/1/2025,1,1,180,10/5/2025,
1/1/2025,2,1,8,10/5/2025,
1/1/2025,3,1,60,10/5/2025,
1/1/2025,1,2,150,18/4/2025,
1/1/2025,2,2,5,18/4/2025,
1/1/2025,3,2,45,18/4/2025,
1/1/2025,1,3,40,1/5/2025,
1/1/2025,2,3,10,1/5/2025,
1/1/2025,3,3,25,1/5/2025,
1/1/2025,1,4,200,9/6/2025,
1/1/2025,2,4,12,9/6/2025,
1/1/2025,3,4,75,9/6/2025,
1/1/2025,1,5,180,10/1/2025,
1/1/2025,2,5,3,19/1/2025,
1/1/2025,3,5,25,17/1/2025,
1/1/2025,1,6,15,12/1/2025,
1/1/2025,2,6,4,12/1/2025,
1/1/2025,3,6,9,12/1/2025,
1/1/2025,1,7,110,1/7/2025,
1/1/2025,2,7,8,1/7/2025,
1/1/2025,3,7,35,1/7/2025,
1/1/2025,1,8,130,12/8/2025,
1/1/2025,2,8,10,12/8/2025,
1/1/2025,3,8,45,12/8/2025,
1/1/2025,1,9,140,14/3/2025,
1/1/2025,2,9,7,14/3/2025,
1/1/2025,3,9,30,14/3/2025,
1/1/2025,1,10,100,28/2/2025,
1/1/2025,2,10,6,28/2/2025,
1/1/2025,3,10,20,28/2/2025,
1/1/2025,1,11,80,10/5/2025,
1/1/2025,2,11,5,10/5/2025,
1/1/2025,3,11,22,10/5/2025,
1/1/2025,1,12,60,16/2/2025,
1/1/2025,2,12,3,16/2/2025,
1/1/2025,3,12,18,16/2/2025,
1/1/2025,1,13,170,15/6/2025,
1/1/2025,2,13,7,15/6/2025,
1/1/2025,3,13,28,15/6/2025,
1/1/2025,1,14,90,22/1/2025,
1/1/2025,2,14,6,22/1/2025,
1/1/2025,3,14,20,22/1/2025,
1/1/2025,1,15,200,20/6/2025,
1/1/2025,2,15,8,20/6/2025,
1/1/2025,3,15,42,20/6/2025,
1/1/2025,1,16,150,12/4/2025,
1/1/2025,2,16,5,12/4/2025,
1/1/2025,3,16,34,12/4/2025,
1/1/2025,1,17,140,5/3/2025,
1/1/2025,2,17,6,5/3/2025,
1/1/2025,3,17,38,5/3/2025,
1/1/2025,1,18,100,19/3/2025,
1/1/2025,2,18,8,19/3/2025,
1/1/2025,3,18,30,19/3/2025,
1/1/2025,1,19,90,14/1/2025,
1/1/2025,2,19,4,14/1/2025,
1/1/2025,3,19,20,14/1/2025,
1/1/2025,1,20,120,10/5/2025,
1/1/2025,2,20,6,10/5/2025,
1/1/2025,3,20,30,10/5/2025,
1/1/2025,1,21,130,25/3/2025,
1/1/2025,2,21,9,25/3/2025,
1/1/2025,3,21,24,25/3/2025,
1/1/2025,1,22,70,8/4/2025,
1/1/2025,2,22,3,8/4/2025,
1/1/2025,3,22,15,8/4/2025,
1/1/2025,1,23,180,1/6/2025,
1/1/2025,2,23,10,1/6/2025,
1/1/2025,3,23,50,1/6/2025,
1/1/2025,1,24,60,20/1/2025,
1/1/2025,2,24,3,20/1/2025,
1/1/2025,3,24,18,20/1/2025,
1/1/2025,1,25,160,22/3/2025,
1/1/2025,2,25,7,22/3/2025,
1/1/2025,3,25,40,22/3/2025,
1/1/2025,1,26,120,2/3/2025,
1/1/2025,2,26,5,2/3/2025,
1/1/2025,3,26,24,2/3/2025,
1/1/2025,1,27,50,8/1/2025,
1/1/2025,2,27,2,8/1/2025,
1/1/2025,3,27,10,8/1/2025,
1/1/2025,1,28,200,10/10/2025,
1/1/2025,2,28,12,10/10/2025,
1/1/2025,3,28,55,10/10/2025,
1/1/2025,1,29,85,30/3/2025,
1/1/2025,2,29,3,30/3/2025,
1/1/2025,3,29,15,30/3/2025,
1/1/2025,1,30,70,5/2/2025,
